sex,BMI,height,weight
F,21.61,170.18,62.595696
F,24.59,154.94,58.96696
F,22.5,172.72,67.131616
F,35.13,152.4,81.64656
M,23.74,187.96,83.91452
M,26.63,165.1,72.57472
M,25.77,182.88,86.18248
F,27.34,152.4,63.50288
F,26.83,177.8,84.821704
F,21.93,157.48,54.43104
M,21.38,177.8,67.585208
M,31.18,182.88,104.32616
F,23.63,175.26,72.57472
F,20.37,170.18,58.96696
F,21.0,167.64,58.96696
M,27.9,180.34,90.7184
F,21.41,175.26,65.77084
F,21.18,149.86,47.62716
F,25.06,170.18,72.57472
F,21.65,165.1,58.96696
F,34.57,160.02,88.45044
F,35.27,160.02,90.264808
F,23.78,157.48,58.96696
F,34.25,167.64,96.161504
M,44.94,165.1,122.46984
F,35.52,162.56,93.893544
M,31.01,172.72,92.532768
F,28.14,162.56,74.389088
F,29.94,165.1,81.64656
F,29.13,165.1,79.3786
F,27.45,167.64,77.11064
F,21.13,170.18,61.23492
M,31.95,172.72,95.25432
F,28.9,157.48,71.667536
M,25.1,180.34,81.64656
M,27.27,177.8,86.18248
M,25.84,175.26,79.3786
F,23.63,154.94,56.699
F,32.77,160.02,83.91452
F,21.79,167.64,61.23492
F,27.24,149.86,61.23492
F,23.78,157.48,58.96696
M,23.72,180.34,77.11064
M,23.14,193.04,86.18248
M,25.81,177.8,81.64656
M,34.97,185.42,120.20188
M,34.45,180.34,112.037224
F,26.26,149.86,58.96696
F,23.05,160.02,58.96696
M,23.63,175.26,72.57472
F,39.45,162.56,104.32616
F,27.46,162.56,72.57472
M,32.29,167.64,90.7184
M,24.34,175.26,74.84268
F,21.0,167.64,58.96696
M,20.92,180.34,68.0388
F,33.23,175.26,102.0582
M,24.39,182.88,81.64656
F,22.72,170.18,65.77084
F,40.23,157.48,99.79024
M,30.01,190.5,108.86208
F,37.23,160.02,95.25432
M,25.82,170.18,74.84268
F,22.32,162.56,58.96696
F,31.76,154.94,76.203456
M,37.3,177.8,117.93392
F,18.78,170.18,54.43104
F,35.77,165.1,97.52228
F,19.05,167.64,53.523856
M,21.25,190.5,77.11064
F,20.12,157.48,49.89512
M,23.63,175.26,72.57472
M,23.09,187.96,81.64656
F,29.76,170.18,86.18248
F,25.85,172.72,77.11064
F,29.16,162.56,77.11064
M,27.3,175.26,83.91452
M,33.76,190.5,122.46984
M,38.77,167.64,108.86208
M,21.59,172.72,64.410064
F,24.02,162.56,63.50288
M,21.7,182.88,72.57472
F,37.34,149.86,83.91452
M,30.01,190.5,108.86208
F,31.73,162.56,83.91452
F,20.19,167.64,56.699
M,28.9,172.72,86.18248
F,34.97,172.72,104.32616
F,18.24,172.72,54.43104
M,27.3,175.26,83.91452
M,29.83,182.88,99.79024
F,21.25,160.02,54.43104
F,21.25,160.02,54.43104
M,22.61,167.64,63.50288
F,24.81,160.02,63.50288
M,28.9,172.72,86.18248
F,31.79,170.18,92.079176
F,28.48,162.56,75.296272
F,23.49,162.56,62.142104
M,33.9,182.88,113.398
F,25.72,162.56,68.0388
M,26.41,177.8,83.460928
M,30.01,190.5,108.86208
F,22.8,172.72,68.0388
M,25.81,177.8,81.64656
F,21.45,162.56,56.699
F,20.58,162.56,54.43104
F,19.75,157.48,48.987936
F,36.35,167.64,102.0582
F,23.63,165.1,64.410064
M,25.35,167.64,71.213944
M,28.99,190.5,105.233344
F,31.08,157.48,77.11064
M,29.77,187.96,105.233344
M,22.36,182.88,74.84268
F,25.35,167.64,71.213944
M,30.26,175.26,92.98636
F,31.97,167.64,89.811216
F,22.67,154.94,54.43104
M,25.1,180.34,81.64656
F,21.0,167.64,58.96696
M,25.06,170.18,72.57472
F,21.45,162.56,56.699
M,25.12,177.8,79.3786
F,25.85,172.72,77.11064
M,22.43,185.42,77.11064
M,26.52,180.34,86.18248
F,26.17,167.64,73.481904
F,32.6,162.56,86.18248
F,27.25,157.48,67.585208
F,25.64,165.1,69.853168
M,29.15,182.88,97.52228
F,18.54,172.72,55.338224
M,23.63,175.26,72.57472
M,24.34,172.72,72.57472
F,24.67,157.48,61.23492
F,24.34,175.26,74.84268
M,25.04,187.96,88.45044
F,19.05,167.64,53.523856
M,23.74,182.88,79.3786
M,25.77,182.88,86.18248
F,35.13,152.4,81.64656
M,26.18,193.04,97.52228
M,31.57,177.8,99.79024
M,28.49,182.88,95.25432
F,23.56,160.02,60.327736
F,21.04,157.48,52.16308
M,24.78,172.72,73.935496
F,26.06,160.02,66.678024
M,23.74,185.42,81.64656
F,30.12,160.02,77.11064
M,24.43,180.34,79.3786
F,22.86,152.4,53.070264
F,20.8,165.1,56.699
F,27.46,162.56,72.57472
F,25.03,157.48,62.142104
M,29.87,167.64,83.91452
F,23.63,154.94,56.699
M,25.85,172.72,77.11064
M,25.55,172.72,76.203456
M,28.17,170.18,81.64656
F,30.8,154.94,73.935496
M,26.93,170.18,78.017824
M,24.39,182.88,81.64656
M,26.46,182.88,88.45044
F,24.67,157.48,61.23492
F,33.46,172.72,99.79024
F,24.67,157.48,61.23492
F,26.62,172.72,79.3786
M,26.31,182.88,87.996848
M,28.9,172.72,86.18248
M,25.08,172.72,74.84268
M,23.86,182.88,79.832192
F,25.03,167.64,70.30676
M,29.2,172.72,87.089664
M,26.55,175.26,81.64656
F,28.36,160.02,72.57472
F,19.84,160.02,50.802304
F,25.23,162.56,66.678024
F,28.29,165.1,77.11064
M,25.08,185.42,86.18248
M,28.96,170.18,83.91452
F,29.16,162.56,77.11064
M,34.96,165.1,95.25432
F,19.78,172.72,58.96696
F,29.22,160.02,74.84268
F,21.32,167.64,59.874144
F,30.03,162.56,79.3786
F,21.25,160.02,54.43104
F,24.95,165.1,68.0388
F,39.88,160.02,102.0582
M,30.16,187.96,106.59412
F,22.85,160.02,58.513368
M,27.86,170.18,80.739376
M,32.48,175.26,99.79024
M,29.97,185.42,102.965384
F,24.81,160.02,63.50288
F,23.78,157.48,58.96696
F,28.69,177.8,90.7184
F,29.22,160.02,74.84268
F,30.86,162.56,81.64656
F,22.13,175.26,68.0388
F,30.78,165.1,83.91452
M,25.09,175.26,77.11064
M,27.3,175.26,83.91452
M,36.45,175.26,112.037224
F,30.87,152.4,71.667536
F,24.89,162.56,65.77084
F,21.49,152.4,49.89512
F,32.29,167.64,90.7184
F,25.06,170.18,72.57472
M,36.01,170.18,104.32616
F,25.0,160.02,63.956472
F,41.52,157.48,102.965384
M,27.27,177.8,86.18248
M,27.9,180.34,90.7184
F,24.89,162.56,65.77084
M,27.65,182.88,92.532768
M,25.84,175.26,79.3786
F,26.93,170.18,78.017824
F,20.66,175.26,63.50288
M,25.1,180.34,81.64656
M,25.85,167.64,72.57472
M,27.9,180.34,90.7184
F,21.64,162.56,57.152592
F,20.58,162.56,54.43104
M,31.18,182.88,104.32616
M,22.36,182.88,74.84268
M,23.66,177.8,74.84268
F,27.46,162.56,72.57472
F,26.63,165.1,72.57472
M,27.27,177.8,86.18248
F,33.47,162.56,88.45044
M,36.28,165.1,98.883056
M,25.72,162.56,68.0388
F,29.27,157.48,72.57472
M,21.63,180.34,70.30676
F,31.05,162.56,82.100152
M,32.3,177.8,102.0582
F,25.85,167.64,72.57472
F,36.61,165.1,99.79024
F,22.72,170.18,65.77084
M,23.86,182.88,79.832192
M,23.15,162.56,61.23492
F,41.16,157.48,102.0582
F,24.34,172.72,72.57472
M,25.81,177.8,81.64656
M,26.57,187.96,93.893544
F,43.9,157.48,108.86208
F,29.27,157.48,72.57472
M,26.55,175.26,81.64656
F,18.87,162.56,49.89512
F,23.03,170.18,66.678024
M,39.9,180.34,129.727312
F,24.81,160.02,63.50288
M,19.53,180.34,63.50288
F,23.43,167.64,65.77084
M,25.12,177.8,79.3786
F,18.92,154.94,45.3592
M,27.36,172.72,81.64656
F,29.22,160.02,74.84268
M,30.15,177.8,95.25432
F,38.42,157.48,95.25432
F,26.74,152.4,62.142104
F,22.32,162.56,58.96696
M,25.59,193.04,95.25432
M,26.56,160.02,68.0388
M,30.01,190.5,108.86208
F,22.5,160.02,57.606184
M,30.7,180.34,99.79024
M,29.83,177.8,94.347136
M,28.51,170.18,82.553744
F,31.62,165.1,86.18248
F,25.04,162.56,66.224432
F,32.01,157.48,79.3786
M,25.55,172.72,76.203456
F,25.85,167.64,72.57472
M,30.41,172.72,90.7184
F,27.46,162.56,72.57472
M,33.21,182.88,111.13004
F,23.56,160.02,60.327736
M,28.61,180.34,92.98636
M,32.14,177.8,101.604608
F,26.89,157.48,66.678024
F,28.34,154.94,68.0388
F,24.02,162.56,63.50288
F,23.17,175.26,71.213944
M,23.25,167.64,65.317248
M,27.5,190.5,99.79024
F,19.56,162.56,51.709488
F,19.48,172.72,58.059776
M,30.41,172.72,90.7184
F,24.95,165.1,68.0388
M,28.05,175.26,86.18248
M,20.24,180.34,65.77084
F,20.8,165.1,56.699
M,23.47,170.18,68.0388
F,21.32,167.64,59.874144
M,27.45,167.64,77.11064
F,32.47,165.1,88.45044
M,22.97,177.8,72.57472
F,20.58,162.56,54.43104
M,23.05,182.88,77.11064
M,27.36,172.72,81.64656
F,28.96,170.18,83.91452
F,41.42,165.1,112.944408
F,18.34,165.1,49.89512
M,31.73,162.56,83.91452
F,27.46,162.56,72.57472
F,28.29,162.56,74.84268
F,29.05,167.64,81.64656
F,23.05,160.02,58.96696
M,25.66,187.96,90.7184
F,23.42,152.4,54.43104
F,23.2,160.02,59.420552
F,29.27,157.48,72.57472
M,25.08,172.72,74.84268
M,26.63,165.1,72.57472
F,20.36,167.64,57.152592
M,23.09,187.96,81.64656
F,32.9,170.18,95.25432
F,48.56,160.02,124.284208
M,28.61,180.34,92.98636
F,31.31,170.18,90.7184
F,32.48,175.26,99.79024
M,27.73,185.42,95.25432
M,22.29,175.26,68.492392
F,18.67,157.48,46.266384
F,24.26,160.02,62.142104
M,29.76,170.18,86.18248
F,21.65,165.1,58.96696
F,26.76,172.72,79.832192
M,29.76,170.18,86.18248
M,27.22,180.34,88.45044
F,33.46,172.72,99.79024
F,23.42,152.4,54.43104
F,19.15,165.1,52.16308
F,33.61,165.1,91.625584
F,21.29,172.72,63.50288
M,30.88,172.72,92.079176
F,28.29,165.1,77.11064
M,22.97,177.8,72.57472
M,26.62,172.72,79.3786
M,27.27,177.8,86.18248
M,26.52,180.34,86.18248
F,18.78,170.18,54.43104
F,40.32,162.56,106.59412
F,43.23,162.56,114.305184
F,23.23,149.86,52.16308
F,42.41,149.86,95.25432
F,24.59,154.94,58.96696
F,26.35,152.4,61.23492
M,37.74,177.8,119.294696
F,28.34,157.48,70.30676
F,24.2,152.4,56.245408
M,22.13,175.26,68.0388
F,42.05,157.48,104.32616
F,21.41,175.26,65.77084
M,24.14,172.72,72.121128
F,27.13,167.64,76.203456
F,20.12,157.48,49.89512
F,27.36,172.72,81.64656
F,27.46,162.56,72.57472
M,20.09,177.8,63.50288
F,24.02,162.56,63.50288
F,25.6,157.48,63.50288
M,27.3,175.26,83.91452
F,38.77,167.64,108.86208
F,45.84,149.86,102.965384
F,19.48,172.72,58.059776
F,24.34,172.72,72.57472
M,38.93,185.42,133.80964
M,30.41,172.72,90.7184
F,25.06,170.18,72.57472
M,24.97,193.04,92.98636
F,21.65,165.1,58.96696
M,26.39,185.42,90.7184
F,22.32,162.56,58.96696
F,22.32,162.56,58.96696
M,28.61,180.34,92.98636
M,32.47,165.1,88.45044
F,35.84,157.48,88.904032
M,27.22,180.34,88.45044
F,20.49,152.4,47.62716
F,26.53,157.48,65.77084
F,36.43,165.1,99.336648
M,25.08,182.88,83.91452
M,24.67,175.26,75.749864
M,28.0,177.8,88.45044
M,23.01,180.34,74.84268
M,24.34,172.72,72.57472
F,20.8,154.94,49.89512
F,23.3,165.1,63.50288
F,21.25,160.02,54.43104
F,25.03,167.64,70.30676
F,32.29,167.64,90.7184
F,25.6,157.48,63.50288
F,43.47,154.94,104.32616
F,27.77,167.64,78.017824
M,29.13,165.1,79.3786
F,41.22,154.94,98.883056
F,33.46,172.72,99.79024
F,23.81,165.1,64.863656
F,21.79,162.56,57.606184
M,22.45,165.1,61.23492
M,27.55,177.8,87.089664
M,31.02,160.02,79.3786
F,48.83,152.4,113.398
F,34.23,175.26,105.233344
F,29.77,160.02,76.203456
F,27.41,157.48,68.0388
F,25.4,152.4,58.96696
F,26.53,157.48,65.77084
M,27.41,170.18,79.3786
F,40.37,167.64,113.398
F,24.95,165.1,68.0388
F,27.95,167.64,78.471416
M,27.11,182.88,90.7184
F,19.01,172.72,56.699
F,29.5,162.56,78.017824
M,28.17,170.18,81.64656
F,26.63,165.1,72.57472
M,34.88,180.34,113.398
M,20.33,182.88,68.0388
F,25.6,157.48,63.50288
M,25.1,180.34,81.64656
F,21.95,160.02,56.245408
F,28.13,172.72,83.91452
M,26.62,170.18,77.11064
M,28.85,177.8,91.171992
F,24.95,165.1,68.0388
F,20.68,170.18,59.874144
F,32.29,167.64,90.7184
M,24.39,182.88,81.64656
F,29.76,170.18,86.18248
F,21.92,170.18,63.50288
M,25.12,177.8,79.3786
F,23.42,152.4,54.43104
F,25.51,154.94,61.23492
F,20.59,154.94,49.441528
M,23.3,165.1,63.50288
M,29.7,185.42,102.0582
M,24.81,160.02,63.50288
F,45.71,157.48,113.398
M,33.48,193.04,124.7378
F,29.27,157.48,72.57472
M,24.34,172.72,72.57472
M,25.12,177.8,79.3786
M,26.52,180.34,86.18248
M,23.62,185.42,81.192968
F,33.61,165.1,91.625584
M,25.06,170.18,72.57472
M,39.07,180.34,127.00576
F,33.2,152.4,77.11064
F,19.48,172.72,58.059776
F,26.63,165.1,72.57472
M,31.31,170.18,90.7184
M,32.9,170.18,95.25432
F,21.92,170.18,63.50288
M,28.05,175.26,86.18248
M,22.23,170.18,64.410064
M,26.97,165.1,73.481904
F,28.34,157.48,70.30676
M,26.52,180.34,86.18248
F,25.38,162.56,67.131616
F,21.87,152.4,50.802304
F,22.49,157.48,55.791816
F,41.97,167.64,117.93392
F,21.41,175.26,65.77084
F,25.4,152.4,58.96696
F,21.49,152.4,49.89512
F,24.2,152.4,56.245408
M,21.79,167.64,61.23492
M,30.7,180.34,99.79024
F,42.05,157.48,104.32616
M,33.9,182.88,113.398
F,31.52,160.02,80.739376
F,20.58,162.56,54.43104
M,23.32,182.88,78.017824
F,19.15,165.1,52.16308
M,28.49,182.88,95.25432
M,26.62,172.72,79.3786
F,25.85,167.64,72.57472
M,26.79,193.04,99.79024
M,28.8,175.26,88.45044
F,25.4,157.48,63.049288
M,39.15,170.18,113.398
F,24.95,165.1,68.0388
F,26.62,172.72,79.3786
F,23.75,167.64,66.678024
F,30.69,167.64,86.18248
M,26.54,177.8,83.91452
M,31.33,167.64,87.996848
M,23.05,182.88,77.11064
F,31.31,170.18,90.7184
M,29.83,182.88,99.79024
M,34.66,187.96,122.46984
F,26.44,162.56,69.853168
F,26.59,162.56,70.30676
M,29.51,187.96,104.32616
M,29.52,175.26,90.7184
M,25.06,170.18,72.57472
F,31.95,172.72,95.25432
M,26.63,167.64,74.84268
F,23.05,160.02,58.96696
M,25.1,180.34,81.64656
F,32.13,154.94,77.11064
F,21.25,160.02,54.43104
M,31.01,175.26,95.25432
M,34.18,180.34,111.13004
M,25.1,180.34,81.64656
F,32.97,160.02,84.368112
M,25.03,167.64,70.30676
F,31.08,157.48,77.11064
F,22.21,149.86,49.89512
F,21.45,162.56,56.699
M,24.34,175.26,74.84268
F,37.13,167.64,104.32616
M,28.9,172.72,86.18248
F,23.3,165.1,63.50288
F,44.1,165.1,120.20188
F,21.65,165.1,58.96696
M,33.48,182.88,112.037224
F,20.39,172.72,60.781328
F,26.45,165.1,72.121128
M,24.27,180.34,78.925008
M,29.15,182.88,97.52228
F,23.22,157.48,57.606184
F,26.56,160.02,68.0388
F,31.62,165.1,86.18248
F,30.51,167.64,85.728888
F,30.51,167.64,85.728888
F,28.8,165.1,78.471416
M,33.66,170.18,97.52228
F,25.85,172.72,77.11064
M,28.74,190.5,104.32616
F,19.57,170.18,56.699
M,24.34,172.72,72.57472
M,30.41,172.72,90.7184
F,25.72,162.56,68.0388
M,26.55,175.26,81.64656
M,29.3,185.42,100.697424
M,29.67,172.72,88.45044
M,21.7,182.88,72.57472
M,32.08,180.34,104.32616
F,34.96,165.1,95.25432
F,36.2,157.48,89.811216
F,26.31,170.18,76.203456
M,25.68,170.18,74.389088
M,25.81,180.34,83.91452
M,27.27,177.8,86.18248
F,33.63,154.94,80.739376
F,23.63,175.26,72.57472
M,31.62,165.1,86.18248
F,21.0,167.64,58.96696
M,25.81,180.34,83.91452
F,22.13,154.94,53.070264
F,27.11,160.02,69.399576
F,32.47,165.1,88.45044
M,29.52,175.26,90.7184
M,22.05,185.42,75.749864
F,18.24,160.02,46.719976
M,23.63,175.26,72.57472
M,27.11,182.88,90.7184
M,22.97,177.8,72.57472
F,32.21,152.4,74.84268
M,28.8,175.26,88.45044
M,30.05,167.64,84.368112
M,32.99,185.42,113.398
M,25.1,180.34,81.64656
M,25.85,172.72,77.11064
F,23.05,160.02,58.96696
F,29.76,170.18,86.18248
F,21.0,167.64,58.96696
F,25.72,162.56,68.0388
M,29.37,190.5,106.59412
F,37.49,157.48,92.98636
M,26.41,177.8,83.460928
M,25.59,193.04,95.25432
F,38.26,165.1,104.32616
M,26.55,175.26,81.64656
M,24.55,180.34,79.832192
F,41.18,170.18,119.294696
M,35.87,177.8,113.398
M,28.69,177.8,90.7184
M,40.0,182.88,133.80964
M,32.58,177.8,102.965384
F,26.47,154.94,63.50288
M,22.8,172.72,68.0388
F,19.84,154.94,47.62716
F,28.36,160.02,72.57472
F,25.85,172.72,77.11064
F,28.87,160.02,73.935496
M,28.05,175.26,86.18248
F,25.08,172.72,74.84268
F,35.87,177.8,113.398
F,32.17,157.48,79.832192
M,30.7,180.34,99.79024
M,24.41,185.42,83.91452
M,23.25,177.8,73.481904
M,26.26,190.5,95.25432
M,24.21,167.64,68.0388
M,31.43,187.96,111.13004
M,20.81,177.8,65.77084
F,21.45,162.56,56.699
F,20.58,162.56,54.43104
F,28.13,172.72,83.91452
F,24.14,165.1,65.77084
M,22.13,175.26,68.0388
M,30.03,162.56,79.3786
M,21.12,185.42,72.57472
M,36.28,185.42,124.7378
F,31.95,172.72,95.25432
M,28.0,177.8,88.45044
M,22.13,190.5,80.285784
F,23.78,157.48,58.96696
F,20.39,160.02,52.16308
M,25.08,172.72,74.84268
F,21.92,170.18,63.50288
M,25.55,175.26,78.471416
F,27.45,167.64,77.11064
F,28.82,162.56,76.203456
F,43.47,154.94,104.32616
F,28.36,160.02,72.57472
F,29.28,152.4,68.0388
F,21.45,162.56,56.699
F,24.67,157.48,61.23492
M,23.87,172.72,71.213944
M,29.51,187.96,104.32616
F,28.36,160.02,72.57472
F,25.6,157.48,63.50288
F,31.52,160.02,80.739376
F,41.98,152.4,97.52228
F,22.61,167.64,63.50288
F,27.11,165.1,73.935496
F,29.13,165.1,79.3786
F,23.47,170.18,68.0388
M,25.09,175.26,77.11064
F,28.96,170.18,83.91452
F,27.41,157.48,68.0388
M,25.12,177.8,79.3786
F,30.52,162.56,80.739376
F,27.41,157.48,68.0388
F,30.19,167.64,84.821704
M,27.45,167.64,77.11064
F,20.66,175.26,63.50288
M,28.9,172.72,86.18248
M,23.74,187.96,83.91452
F,21.54,175.26,66.224432
F,33.44,177.8,105.686936
M,20.45,185.42,70.30676
M,27.41,170.18,79.3786
F,22.15,160.02,56.699
M,28.49,182.88,95.25432
M,34.25,167.64,96.161504
M,27.5,190.5,99.79024
F,29.96,160.02,76.657048
M,24.5,175.26,75.296272
F,23.1,172.72,68.945984
M,25.41,180.34,82.553744
M,29.13,177.8,92.079176
F,19.74,162.56,52.16308
F,20.29,165.1,55.338224
M,40.0,182.88,133.80964
F,18.66,177.8,58.96696
F,20.58,162.56,54.43104
M,32.9,170.18,95.25432
F,21.45,162.56,56.699
M,21.51,177.8,68.0388
F,19.15,165.1,52.16308
F,22.2,172.72,66.224432
F,40.37,167.64,113.398
M,24.41,185.42,83.91452
F,26.21,160.02,67.131616
F,28.8,165.1,78.471416
F,23.43,167.64,65.77084
M,34.57,167.64,97.068688
M,29.0,187.96,102.511792
M,29.32,180.34,95.25432
F,20.39,172.72,60.781328
M,21.38,185.42,73.481904
M,22.61,167.64,63.50288
F,27.27,177.8,86.18248
M,32.99,177.8,104.32616
M,22.8,172.72,68.0388
F,24.27,170.18,70.30676
M,26.63,167.64,74.84268
F,21.46,165.1,58.513368
F,19.49,175.26,59.874144
F,31.02,160.02,79.3786
M,31.88,190.5,115.66596
F,18.58,167.64,52.16308
F,36.56,157.48,90.7184
F,20.52,172.72,61.23492
M,23.57,172.72,70.30676
F,18.66,177.8,58.96696
F,35.44,172.72,105.686936
M,23.66,177.8,74.84268
F,27.86,170.18,80.739376
M,26.13,175.26,80.285784
F,27.46,162.56,72.57472
M,28.13,172.72,83.91452
M,31.01,175.26,95.25432
F,30.78,165.1,83.91452
F,26.53,157.48,65.77084
M,34.88,180.34,113.398
F,25.85,172.72,77.11064
F,25.03,167.64,70.30676
F,26.63,165.1,72.57472
M,31.31,170.18,90.7184
F,22.72,170.18,65.77084
F,20.12,157.48,49.89512
M,29.05,167.64,81.64656
M,32.1,170.18,92.98636
F,28.29,165.1,77.11064
M,30.15,177.8,95.25432
F,29.27,157.48,72.57472
M,30.03,162.56,79.3786
M,35.44,175.26,108.86208
M,21.7,182.88,72.57472
M,30.55,170.18,88.45044
F,32.61,165.1,88.904032
F,22.86,157.48,56.699
F,30.15,157.48,74.84268
M,30.41,172.72,90.7184
F,20.8,154.94,49.89512
F,32.01,157.48,79.3786
F,27.46,162.56,72.57472
F,27.46,160.02,70.30676
F,27.76,175.26,85.275296
M,26.55,175.26,81.64656
F,28.29,165.1,77.11064
M,30.7,180.34,99.79024
F,27.45,167.64,77.11064
F,22.66,162.56,59.874144
M,27.11,182.88,90.7184
M,38.02,172.72,113.398
F,24.95,165.1,68.0388
M,31.72,182.88,106.140528
F,27.36,172.72,81.64656
F,32.6,162.56,86.18248
M,25.08,182.88,83.91452
F,19.74,162.56,52.16308
M,25.08,182.88,83.91452
F,25.4,152.4,58.96696
F,23.3,165.1,63.50288
M,23.74,185.42,81.64656
M,36.49,170.18,105.686936
F,19.48,165.1,53.070264
F,30.63,165.1,83.460928
F,22.61,167.64,63.50288
M,19.53,180.34,63.50288
F,42.05,157.48,104.32616
F,29.28,152.4,68.0388
F,30.26,149.86,68.0388
F,23.78,157.48,58.96696
M,33.72,177.8,106.59412
F,24.34,172.72,72.57472
M,25.12,177.8,79.3786
F,21.65,165.1,58.96696
M,25.08,182.88,83.91452
M,26.55,175.26,81.64656
M,24.34,172.72,72.57472
M,20.52,172.72,61.23492
F,21.79,167.64,61.23492
F,23.91,160.02,61.23492
F,25.85,172.72,77.11064
F,18.87,162.56,49.89512
F,29.13,165.1,79.3786
M,23.66,177.8,74.84268
F,28.9,157.48,71.667536
F,25.37,170.18,73.481904
M,28.13,172.72,83.91452
F,19.4,162.56,51.255896
F,20.37,170.18,58.96696
F,27.45,167.64,77.11064
M,29.52,175.26,90.7184
F,27.46,162.56,72.57472
F,21.45,162.56,56.699
F,24.81,160.02,63.50288
M,33.9,182.88,113.398
M,24.43,180.34,79.3786
F,24.59,154.94,58.96696
M,23.25,177.8,73.481904
F,29.16,162.56,77.11064
M,26.54,177.8,83.91452
M,22.33,180.34,72.57472
F,37.34,149.86,83.91452
F,23.15,162.56,61.23492
F,23.63,175.26,72.57472
F,25.85,167.64,72.57472
M,28.24,187.96,99.79024
F,23.49,162.56,62.142104
F,44.59,162.56,117.93392
F,23.79,170.18,68.945984
F,26.56,160.02,68.0388
F,25.82,170.18,74.84268
F,20.58,162.56,54.43104
M,27.36,172.72,81.64656
F,51.22,154.94,122.923432
F,34.31,162.56,90.7184
M,25.84,175.26,79.3786
M,29.87,167.64,83.91452
M,21.13,170.18,61.23492
M,23.66,177.8,74.84268
F,27.31,160.02,69.853168
F,36.56,157.48,90.7184
M,22.61,167.64,63.50288
F,30.86,162.56,81.64656
F,28.36,160.02,72.57472
M,30.41,172.72,90.7184
F,27.46,162.56,72.57472
M,26.96,187.96,95.25432
F,33.28,165.1,90.7184
F,20.19,167.64,56.699
M,39.07,180.34,127.00576
M,35.28,187.96,124.7378
M,27.5,190.5,99.79024
F,21.13,165.1,57.606184
F,37.25,172.72,111.13004
F,22.61,167.64,63.50288
F,31.51,167.64,88.45044
F,17.17,162.56,45.3592
F,28.13,172.72,83.91452
M,26.62,172.72,79.3786
F,21.29,172.72,63.50288
F,30.43,177.8,96.161504
F,19.49,160.02,49.89512
F,26.26,149.86,58.96696
M,20.24,180.34,65.77084
F,24.02,162.56,63.50288
M,35.3,193.04,131.54168
M,26.62,170.18,77.11064
M,35.59,180.34,115.66596
M,34.97,172.72,104.32616
F,22.32,162.56,58.96696
F,24.21,167.64,68.0388
F,31.97,167.64,89.811216
F,44.59,162.56,117.93392
M,26.52,180.34,86.18248
M,23.14,193.04,86.18248
M,24.7,180.34,80.285784
F,38.98,160.02,99.79024
M,30.41,172.72,90.7184
M,23.99,180.34,78.017824
M,24.41,185.42,83.91452
M,20.01,190.5,72.57472
F,30.12,160.02,77.11064
F,21.13,170.18,61.23492
M,29.83,182.88,99.79024
F,20.59,154.94,49.441528
F,24.14,165.1,65.77084
F,20.92,162.56,55.338224
F,34.75,157.48,86.18248
M,31.31,170.18,90.7184
F,34.96,165.1,95.25432
F,19.48,172.72,58.059776
F,25.08,172.72,74.84268
M,30.52,182.88,102.0582
F,22.61,149.86,50.802304
F,23.05,160.02,58.96696
M,32.3,177.8,102.0582
F,23.16,170.18,67.131616
M,34.23,172.72,102.0582
M,26.39,185.42,90.7184
F,26.63,165.1,72.57472
M,25.53,167.64,71.667536
F,34.59,170.18,100.243832
F,24.02,162.56,63.50288
M,24.12,182.88,80.739376
M,30.01,190.5,108.86208
F,26.32,157.48,65.317248
M,32.61,165.1,88.904032
M,31.68,180.34,102.965384
M,35.93,182.88,120.20188
M,31.01,175.26,95.25432
F,26.32,157.48,65.317248
M,36.51,172.72,108.86208
M,19.67,182.88,65.77084
F,20.62,165.1,56.245408
F,27.41,157.48,68.0388
F,25.72,162.56,68.0388
M,29.03,185.42,99.79024
F,31.62,165.1,86.18248
M,25.66,187.96,90.7184
F,30.26,154.94,72.57472
F,28.36,160.02,72.57472
M,26.52,180.34,86.18248
M,26.88,175.26,82.553744
F,21.92,170.18,63.50288
F,23.33,175.26,71.667536
M,24.58,170.18,71.213944
F,20.66,175.26,63.50288
F,23.05,154.94,55.338224
M,24.21,167.64,68.0388
F,22.24,177.8,70.30676
F,37.11,152.4,86.18248
M,32.09,187.96,113.398
F,34.01,154.94,81.64656
F,22.06,172.72,65.77084
F,23.78,157.48,58.96696
M,28.41,167.64,79.832192
F,20.8,154.94,49.89512
M,24.39,182.88,81.64656
M,25.86,185.42,88.904032
F,22.72,170.18,65.77084
F,29.99,177.8,94.800728
F,27.45,167.64,77.11064
F,36.39,162.56,96.161504
M,32.32,185.42,111.13004
M,27.86,170.18,80.739376
M,26.55,175.26,81.64656
F,23.04,152.4,53.523856
M,26.55,175.26,81.64656
F,24.34,172.72,72.57472
M,26.62,172.72,79.3786
M,26.62,170.18,77.11064
M,28.74,190.5,104.32616
M,27.5,190.5,99.79024
F,23.38,177.8,73.935496
F,24.81,160.02,63.50288
F,20.8,154.94,49.89512
F,25.51,154.94,61.23492
M,27.27,177.8,86.18248
F,23.63,154.94,56.699
M,25.68,170.18,74.389088
M,42.5,175.26,130.634496
M,28.17,170.18,81.64656
M,28.61,180.34,92.98636
M,22.49,190.5,81.64656
F,35.78,160.02,91.625584
M,35.07,170.18,101.604608
M,31.13,177.8,98.429464
M,23.17,175.26,71.213944
